Time(s),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s)
1.4,25.497,14.8972,0.00254547,14326.6,7809.44,0.37377
1.41,25.497,14.8873,0.00248202,14326.5,7803.78,0.54842
1.42,25.4969,14.8773,0.00245702,14326.7,7797.9,0.772459
1.43,25.4971,14.8673,0.00253309,14326.5,7792.38,0.615592
1.44,25.4969,14.8572,0.0024794,14326.4,7786.61,0.427808
1.45,25.4969,14.8473,0.00249157,14326.4,7780.68,0.514577
1.46,25.4969,14.8373,0.00256026,14326.5,7775.42,0.569979
1.47,25.4968,14.8272,0.00243009,14326.6,7770,0.313627
1.48,25.4969,14.8173,0.00258774,14326.5,7763.51,0.55425
1.49,25.4969,14.8073,0.00254144,14326.7,7758.66,0.856452
1.5,25.4969,14.7973,0.00252048,14326.4,7752.93,0.229244
1.51,25.4969,14.7873,0.00254422,14326.9,7747.22,0.650376
1.52,25.4969,14.7773,0.00261459,14326.6,7741.76,0.693625
1.53,25.4968,14.7672,0.0025647,14326.7,7735.94,0.421821
1.54,25.497,14.7572,0.00255249,14326.5,7730.71,0.693662
1.55,25.497,14.7472,0.00256829,14326.3,7724.92,0.414577
1.56,25.4969,14.7372,0.00255983,14326.3,7719.03,0.320519
1.57,25.4969,14.7272,0.00252276,14326.8,7713.67,0.399501
1.58,25.4968,14.7173,0.00259238,14326.7,7708.15,0.781949
1.59,25.4969,14.7072,0.00254189,14326.1,7702.32,0.453033
1.6,25.497,14.6973,0.0024758,14326.6,7696.67,0.498999
1.61,25.4969,14.6872,0.00266305,14326.4,7690.84,0.89701
1.62,25.4969,14.6773,0.00254778,14326.5,7685.61,0.47447
1.63,25.4969,14.6672,0.00260521,14326.8,7679.69,0.716376
1.64,25.4969,14.6572,0.0025428,14326.5,7674.27,0.413971
1.65,25.4969,14.6472,0.00260545,14326.6,7668.53,0.522845
1.66,25.4969,14.6372,0.00251855,14326.4,7662.87,0.29308
1.67,25.497,14.6272,0.00252719,14326.7,7657.44,0.697495
1.68,25.4969,14.6172,0.00253914,14326.5,7651.97,0.523207
1.69,25.4968,14.6072,0.00255937,14326.8,7646.07,0.714793
1.7,25.4968,14.5972,0.00256319,14326.7,7640.8,0.496786
1.71,25.497,14.5872,0.00253112,14326.6,7634.86,0.431009
1.72,25.4969,14.5773,0.00255204,14326.3,7629.36,0.576119
1.73,25.4969,14.5672,0.00254551,14326.7,7623.58,0.216201
1.74,25.4969,14.5573,0.0025291,14326.6,7617.96,0.577022
1.75,25.4969,14.5472,0.00249215,14326.5,7612.35,0.836637
1.76,25.4969,14.5372,0.00264033,14326.5,7606.86,0.372732
1.77,25.4969,14.5272,0.0025423,14326.5,7601.18,0.640687
1.78,25.4969,14.5172,0.00259319,14326.6,7595.53,0.429838
1.79,25.497,14.5071,0.00251379,14326.6,7589.7,0.479762
1.8,25.4968,14.4972,0.00254023,14326.3,7584.23,0.614718
1.81,25.4969,14.4872,0.0025426,14326.5,7578.59,0.394553
1.82,25.4968,14.4773,0.00249817,14326.6,7573,0.652019
1.83,25.4969,14.4672,0.00260227,14326.3,7567.55,1.06275
1.84,25.4969,14.4572,0.00256502,14326.4,7561.78,0.265521
1.85,25.4969,14.4471,0.00254089,14326.7,7556.33,0.494831
1.86,25.4969,14.4371,0.00263541,14326.7,7550.79,0.414123
1.87,25.4968,14.4272,0.00258978,14326.4,7544.94,0.580045
1.88,25.4969,14.4172,0.00252827,14326.8,7539.48,0.544983
1.89,25.4968,14.4071,0.00250971,14326.4,7533.63,0.394947
1.9,25.4969,14.3972,0.00255497,14326.7,7528.28,0.254189
1.91,25.4969,14.3872,0.00249928,14326.7,7522.47,0.312352
1.92,25.4969,14.3772,0.0024405,14326.5,7516.98,0.721982
1.93,25.4969,14.3672,0.00250535,14326.3,7511.49,0.456981
1.94,25.4968,14.3573,0.00255537,14326.4,7505.75,0.682419
1.95,25.4969,14.3473,0.00260438,14326.3,7500.17,0.452312
1.96,25.497,14.3372,0.00250868,14326.5,7494.46,0.454686
1.97,25.4969,14.3272,0.00253869,14326.2,7488.85,0.281671
1.98,25.4969,14.3171,0.00256709,14326.9,7483.06,0.210949
1.99,25.4969,14.3072,0.00250264,14326.7,7477.6,0.616799
2,25.4969,14.2971,0.00251158,14326.6,7471.95,0.553434
2.01,25.4969,14.2873,0.00250894,14326.5,7466.24,0.743203
2.02,25.4969,14.2772,0.00255878,14326.5,7460.71,0.648867
2.03,25.4969,14.2672,0.00247597,14326.6,7455.21,0.390372
2.04,25.4969,14.2572,0.00257812,14326.5,7449.73,0.483475
2.05,25.4969,14.2472,0.00241258,14326.9,7443.78,0.43583
2.06,25.4969,14.2372,0.00249471,14326.6,7438.32,0.451023
2.07,25.4969,14.2272,0.00247861,14326.4,7432.61,0.177706
2.08,25.4969,14.2171,0.00255889,14326.5,7426.64,0.455951
2.09,25.4968,14.2072,0.00262293,14326.6,7421.59,0.360058
2.1,25.4969,14.1972,0.0025802,14326.3,7415.58,0.714004
2.11,25.4968,14.1872,0.00243299,14326.6,7410.26,0.424723
